view,kind,lag,layer,head,value,count
post_rope,k,1,0,-1,0.9992723137140274,80
post_rope,k,1,0,0,0.999778401851654,20
post_rope,k,1,0,1,0.9990510731935501,20
post_rope,k,1,0,2,0.9993256688117981,20
post_rope,k,1,0,3,0.9989340841770172,20
post_rope,k,1,1,-1,0.9545508772134781,80
post_rope,k,1,1,0,0.9995143204927445,20
post_rope,k,1,1,1,0.9299845606088638,20
post_rope,k,1,1,2,0.9410273313522339,20
post_rope,k,1,1,3,0.9476772785186768,20
post_rope,k,1,2,-1,0.8913127362728119,80
post_rope,k,1,2,0,0.7175552725791932,20
post_rope,k,1,2,1,0.9700630128383636,20
post_rope,k,1,2,2,0.9461966842412949,20
post_rope,k,1,2,3,0.9314359694719314,20
post_rope,k,1,3,-1,0.9319424241781235,80
post_rope,k,1,3,0,0.9928499966859817,20
post_rope,k,1,3,1,0.8278272837400437,20
post_rope,k,1,3,2,0.933218851685524,20
post_rope,k,1,3,3,0.9738735616207123,20
post_rope,k,1,4,-1,0.7931587636470795,80
post_rope,k,1,4,0,0.8445774793624878,20
post_rope,k,1,4,1,0.5898540586233139,20
post_rope,k,1,4,2,0.8831493109464645,20
post_rope,k,1,4,3,0.8550542145967484,20
post_rope,k,1,5,-1,0.837437915802002,80
post_rope,k,1,5,0,0.8889496386051178,20
post_rope,k,1,5,1,0.8855901509523392,20
post_rope,k,1,5,2,0.7939225822687149,20
post_rope,k,1,5,3,0.7812893092632294,20
post_rope,k,1,6,-1,0.8809567987918854,80
post_rope,k,1,6,0,0.7996306419372559,20
post_rope,k,1,6,1,0.8953215986490249,20
post_rope,k,1,6,2,0.9616898864507675,20
post_rope,k,1,6,3,0.8671850591897965,20
post_rope,k,1,7,-1,0.902669495344162,80
post_rope,k,1,7,0,0.8960240572690964,20
post_rope,k,1,7,1,0.8751622051000595,20
post_rope,k,1,7,2,0.9081434905529022,20
post_rope,k,1,7,3,0.9313482582569123,20
post_rope,k,1,8,-1,0.8132081091403961,80
post_rope,k,1,8,0,0.8278868496417999,20
post_rope,k,1,8,1,0.8754427105188369,20
post_rope,k,1,8,2,0.8451346307992935,20
post_rope,k,1,8,3,0.7043682634830475,20
post_rope,k,1,9,-1,0.8630876332521439,80
post_rope,k,1,9,0,0.8640287518501282,20
post_rope,k,1,9,1,0.8510048687458038,20
post_rope,k,1,9,2,0.8789361268281937,20
post_rope,k,1,9,3,0.8583807468414306,20
post_rope,k,1,10,-1,0.8634962260723114,80
post_rope,k,1,10,0,0.8772997260093689,20
post_rope,k,1,10,1,0.8607676357030869,20
post_rope,k,1,10,2,0.8643193215131759,20
post_rope,k,1,10,3,0.8515981882810593,20
post_rope,k,1,11,-1,0.808773523569107,80
post_rope,k,1,11,0,0.8016503721475601,20
post_rope,k,1,11,1,0.7853831857442856,20
post_rope,k,1,11,2,0.8339132696390152,20
post_rope,k,1,11,3,0.8141472905874252,20
post_rope,k,1,12,-1,0.7944246590137481,80
post_rope,k,1,12,0,0.9067534744739533,20
post_rope,k,1,12,1,0.717706735432148,20
post_rope,k,1,12,2,0.7959292650222778,20
post_rope,k,1,12,3,0.757309153676033,20
post_rope,k,1,13,-1,0.8951133698225021,80
post_rope,k,1,13,0,0.9710862070322037,20
post_rope,k,1,13,1,0.8320808470249176,20
post_rope,k,1,13,2,0.8989117443561554,20
post_rope,k,1,13,3,0.8783746808767319,20
post_rope,k,1,14,-1,0.7682829052209854,80
post_rope,k,1,14,0,0.7374233812093735,20
post_rope,k,1,14,1,0.7679114192724228,20
post_rope,k,1,14,2,0.792134416103363,20
post_rope,k,1,14,3,0.7756624057888984,20
post_rope,k,1,15,-1,0.8093282014131546,80
post_rope,k,1,15,0,0.7654778599739075,20
post_rope,k,1,15,1,0.8108455628156662,20
post_rope,k,1,15,2,0.7340094819664955,20
post_rope,k,1,15,3,0.9269798964262008,20
post_rope,k,1,16,-1,0.845192876458168,80
post_rope,k,1,16,0,0.8459865629673005,20
post_rope,k,1,16,1,0.8389156937599183,20
post_rope,k,1,16,2,0.799076360464096,20
post_rope,k,1,16,3,0.8967928886413574,20
post_rope,k,1,17,-1,0.8073213130235672,80
post_rope,k,1,17,0,0.8032607883214951,20
post_rope,k,1,17,1,0.8288149327039719,20
post_rope,k,1,17,2,0.7861386731266975,20
post_rope,k,1,17,3,0.8110708713531494,20
post_rope,k,1,18,-1,0.8609977602958679,80
post_rope,k,1,18,0,0.8475313514471055,20
post_rope,k,1,18,1,0.8887534499168396,20
post_rope,k,1,18,2,0.8164187997579575,20
post_rope,k,1,18,3,0.8912874400615692,20
post_rope,k,1,19,-1,0.8683751344680786,80
post_rope,k,1,19,0,0.976359623670578,20
post_rope,k,1,19,1,0.8389795839786529,20
post_rope,k,1,19,2,0.8011732533574104,20
post_rope,k,1,19,3,0.8569880515336991,20
post_rope,k,1,20,-1,0.8377953916788101,80
post_rope,k,1,20,0,0.8563990205526352,20
post_rope,k,1,20,1,0.8431304067373275,20
post_rope,k,1,20,2,0.836189991235733,20
post_rope,k,1,20,3,0.8154621541500091,20
post_rope,k,1,21,-1,0.8712005317211151,80
post_rope,k,1,21,0,0.8551157355308533,20
post_rope,k,1,21,1,0.8961076617240906,20
post_rope,k,1,21,2,0.8740279346704483,20
post_rope,k,1,21,3,0.8595507919788361,20
post_rope,k,1,22,-1,0.8617423087358475,80
post_rope,k,1,22,0,0.8088330566883087,20
post_rope,k,1,22,1,0.8736731231212616,20
post_rope,k,1,22,2,0.8817978262901306,20
post_rope,k,1,22,3,0.8826652407646179,20
post_rope,k,1,23,-1,0.8643061548471451,80
post_rope,k,1,23,0,0.8836363196372986,20
post_rope,k,1,23,1,0.8345032155513763,20
post_rope,k,1,23,2,0.8484991431236267,20
post_rope,k,1,23,3,0.8905858963727951,20
post_rope,k,1,24,-1,0.8647907853126526,80
post_rope,k,1,24,0,0.8259786099195481,20
post_rope,k,1,24,1,0.8783457994461059,20
post_rope,k,1,24,2,0.8859398454427719,20
post_rope,k,1,24,3,0.8688988983631134,20
post_rope,k,1,25,-1,0.85382479429245,80
post_rope,k,1,25,0,0.8939736247062683,20
post_rope,k,1,25,1,0.8433976620435715,20
post_rope,k,1,25,2,0.8186881065368652,20
post_rope,k,1,25,3,0.8592397689819335,20
post_rope,k,1,26,-1,0.823378536105156,80
post_rope,k,1,26,0,0.8520107328891754,20
post_rope,k,1,26,1,0.8037297248840332,20
post_rope,k,1,26,2,0.8505205303430557,20
post_rope,k,1,26,3,0.7872531741857529,20
post_rope,k,1,27,-1,0.8796249866485596,80
post_rope,k,1,27,0,0.8552480250597,20
post_rope,k,1,27,1,0.9998921394348145,20
post_rope,k,1,27,2,0.8284611999988556,20
post_rope,k,1,27,3,0.8348985940217972,20
post_rope,k,2,0,-1,0.9991668462753296,72
post_rope,k,2,0,0,0.9996360639731089,18
post_rope,k,2,0,1,0.9988967544502683,18
post_rope,k,2,0,2,0.999197953277164,18
post_rope,k,2,0,3,0.9989366266462538,18
post_rope,k,2,1,-1,0.8948332832919227,72
