Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.3,64471478959,17373,3711015.9,4468.0,2414,223288982,12810446.7,cudaMemcpyAsync
1.0,631747496,10061,62791.7,5321.0,2636,53556295,1156390.8,cudaLaunchKernel
0.2,156017292,25,6240691.7,6653692.0,85526,16242382,4312798.7,cuLibraryLoadData
0.1,75843090,17426,4352.3,3913.0,2739,1063416,8506.4,cuLaunchKernel
0.1,64983803,8680,7486.6,4224.0,656,4208310,90191.6,cudaStreamSynchronize
0.1,33909463,56,605526.1,2337.0,233,24128611,3254765.2,cudaEventCreateWithFlags
0.0,23035503,189,121881.0,96823.0,3482,1148074,102988.9,cudaMalloc
0.0,21643362,3872,5589.7,5137.0,3627,1011612,16539.7,cuLaunchKernelEx
0.0,19332577,25,773303.1,14906.0,6438,18613266,3717285.2,cudaLaunchKernelExC_v11060
0.0,16818189,12,1401515.8,1317449.5,745845,2439252,585919.3,cudaGetDeviceProperties_v2_v12000
0.0,12506302,10224,1223.2,289.0,189,5123243,53731.7,cuKernelGetFunction
0.0,6861784,11,623798.5,72165.0,35695,3248181,1063192.9,cuLibraryUnload
0.0,3730947,128,29148.0,1795.5,1187,349850,56952.3,cudaStreamCreateWithPriority
0.0,3090383,80,38629.8,3843.5,1436,417438,71882.1,cudaStreamCreateWithFlags
0.0,2828293,26,108780.5,101963.5,49954,303660,59106.2,cuModuleLoad
0.0,2737717,11,248883.4,131992.0,42562,978051,276929.1,cuModuleLoadData
0.0,1735854,6,289309.0,5462.0,1830,1707700,694876.9,cudaFree
0.0,1280501,30,42683.4,19739.0,3588,629186,112489.3,cudaDeviceSynchronize
0.0,1014344,101,10043.0,7627.0,6880,59585,7252.7,cudaMemsetAsync
0.0,980786,8,122598.3,16192.5,7974,871149,302566.6,cudaHostAlloc
0.0,659669,85,7760.8,6859.0,4610,28404,3410.3,cudaEventRecordWithFlags_v11010
0.0,433028,446,970.9,643.5,208,8123,929.2,cudaStreamIsCapturing_v10000
0.0,300802,32,9400.1,1221.5,910,87129,19414.4,cudaEventDestroy
0.0,284469,2095,135.8,102.0,52,2823,134.0,cuGetProcAddress_v2
0.0,243010,68,3573.7,3619.5,2027,6348,878.4,cudaEventQuery
0.0,191278,32,5977.4,3541.0,1754,22468,5068.3,cudaStreamWaitEvent
0.0,128040,32,4001.3,4387.5,328,7877,2466.0,cuLibraryGetKernel
0.0,79623,4,19905.8,5393.5,5003,63833,29286.7,cudaEventRecord
0.0,51661,1,51661.0,51661.0,51661,51661,0.0,cudaMemGetInfo
0.0,26324,5,5264.8,754.0,593,23547,10220.5,cuOccupancyAvailableDynamicSMemPerBlock
0.0,22130,55,402.4,284.0,199,1885,387.7,cuOccupancyMaxActiveClusters
0.0,12136,8,1517.0,1423.0,521,3038,721.4,cuInit
0.0,3733,7,533.3,260.0,136,1836,622.1,cuModuleGetLoadingMode
0.0,1635,4,408.8,391.0,231,622,205.2,cudaGetDriverEntryPoint_v11030
