Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.3,32665363419,1200,27221136.2,24943997.5,665479,64678271,20160209.8,_fwd_kernel
21.1,9290135012,6368,1458878.0,719402.0,231746,4925429,1552129.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
1.2,512609748,1696,302246.3,488710.5,1952,494885,228213.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.9,387290163,1696,228355.0,365957.0,2208,374244,169466.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.7,297883025,3445,86468.2,136546.0,1952,153091,65854.8,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
0.4,182221681,2928,62234.2,26688.0,7648,743240,100336.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
0.4,161191098,160,1007444.4,1268125.0,602182,1280173,311789.7,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
0.4,160524277,16,10032767.3,9931580.0,1753011,19021682,8543579.4,_fwd_kernel_with_tail_score
0.2,78047264,1696,46018.4,73057.0,1216,76641,33890.4,triton_poi_fused__to_copy_cat_0
0.1,56483688,384,147092.9,137057.5,60097,297700,50510.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Params)
