Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
20.2,71397961224,53,1347131343.8,1402930286.0,36726272,3156936989,1069325532.3,PushPop,:step
20.2,71342096840,53,1346077298.9,1402874452.0,36688122,3156884499,1070475150.0,PushPop,:model_run_call
20.0,70693820951,38,1860363709.2,1881579457.5,353005098,3156857507,806479463.1,PushPop,:model_run_prefill
19.5,68766473137,38,1809644029.9,1836792453.0,347809945,3071600031,787773070.0,PushPop,:model_run_model_prefill
18.8,66403824553,1216,54608408.3,56353505.0,241815,100462915,26902298.5,PushPop,:attnpredict_offload_store_cpu_full_kv
0.4,1533268658,53,28929597.3,22111509.0,842885,112338284,27934759.5,PushPop,:model_sampler
0.3,907156957,16,56697309.8,41217093.0,3492979,251536842,60642157.0,PushPop,:attnpredict_offload_prefill_predict_stream
0.2,646868680,15,43124578.7,37065485.0,36670073,120202761,21369683.9,PushPop,:model_run_decode
0.2,624105697,15,41607046.5,35569488.0,35195617,118330729,21271839.9,PushPop,:model_run_model_decode
0.1,431859453,72,5998048.0,3478789.0,1007410,19620153,4813513.7,PushPop,:attnpredict_offload_residency_plan_cpu
0.1,383022516,38,10079539.9,10971375.0,1639829,15062550,3113087.6,PushPop,:cache_prepare_prefill
0.0,96564638,480,201176.3,161816.0,150395,1910045,108287.1,PushPop,:attnpredict_offload_build_decode_view
0.0,52715370,53,994629.6,2097.0,1193,38950398,5634860.6,PushPop,:finished_free
0.0,52497940,3,17499313.3,14473642.0,13619085,24405213,5995928.2,PushPop,:model_free_slots
0.0,40500600,48,843762.5,14867.5,7217,18269511,3000753.7,PushPop,CCCL:cub::DeviceReduce::Sum
0.0,24982235,48,520463.2,16114.0,9786,6000436,1545087.1,PushPop,CCCL:cub::DeviceSelect::Flagged
0.0,19769418,53,373007.9,362811.0,343626,528619,39936.8,PushPop,:model_sparse_prepare
0.0,8787276,480,18306.8,18169.0,11885,29222,1430.7,PushPop,:attnpredict_offload_ensure_current_slots
0.0,2958101,15,197206.7,176110.0,172873,454584,71551.6,PushPop,:cache_prepare_decode
0.0,1376759,53,25976.6,27573.0,15286,46604,6680.0,PushPop,:schedule
0.0,1187695,53,22409.3,23825.0,12320,39955,6846.0,PushPop,:model_sparse_post
0.0,1031110,8,128888.8,130249.5,98588,168760,20098.2,PushPop,:attnpredict_offload_compose_decode_positions
0.0,852514,16,53282.1,49488.5,46693,82867,9650.3,PushPop,:attnpredict_offload_prefetch_wait
0.0,758701,53,14315.1,3886.0,3220,477341,65259.9,PushPop,:postprocess
0.0,52958,53,999.2,771.0,498,6865,1072.5,PushPop,:preempt_free
0.0,22057,16,1378.6,1372.5,1178,1682,135.7,PushPop,:attnpredict_offload_prefetch_event_ready
