
NOTICE: Existing SQLite export found: profiler_outputs/nsys_contention_nvtx_r16_s16_bs2_128k_o16.sqlite
        It is assumed file was previously exported from: profiler_outputs/nsys_contention_nvtx_r16_s16_bs2_128k_o16.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiler_outputs/nsys_contention_nvtx_r16_s16_bs2_128k_o16.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     74.4      64973548694       2352  27624808.1  24981717.5    622412  64629408   20068565.3  _fwd_kernel                                                                                         
     21.0      18322878785      12736   1438668.2    714317.0    231875   5534253    1530507.4  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      1.2       1015141420       3328    305030.5    477801.0      1952    491658     223414.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9        767138612       3328    230510.4    360263.0      2144    375527     166271.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7        603195370       6760     89230.1    138019.0      1984    153155      66194.8  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      0.4        363961128       5855     62162.4     26401.0      7648    747596     100181.6  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      0.4        353840304        960    368583.7    368567.5     24768    716302     343207.6  _fwd_kernel_flash_decode_stage1                                                                     
      0.4        306218970        320    956934.3   1181393.0    596201   1262931     281013.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      0.2        160345502         16  10021593.9   9909763.0   1646623  19714439    8636958.7  _fwd_kernel_with_tail_score                                                                         
      0.2        155515671       3328     46729.5     72066.0      1216     77410      33495.5  triton_poi_fused__to_copy_cat_0                                                                     
      0.1         94600447        704    134375.6    127138.0     59969    255397      46665.9  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Para…
      0.1         49998644       3328     15023.6     22721.0       992     28993      10567.9  store_kvcache_kernel                                                                                
      0.1         44927697       3328     13499.9     20480.0      1088     24673       9495.8  triton_poi_fused__to_copy_cat_1                                                                     
      0.0         26550057        960     27656.3     27264.5      1856     54977      25756.2  _fwd_kernel_flash_decode_stage2                                                                     
      0.0         21757643         25    870305.7   1079925.0    101506   1606944     543000.6  sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_sta…
      0.0         19384768         25    775390.7   1056277.0    117986   1270425     459891.4  void convolve_common_engine_float_NHWC<__half, __half, (int)128, (int)5, (int)5, (int)3, (int)3, (i…
      0.0         18239146        128    142493.3    140899.0    138818    152291       3131.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Para…
      0.0         13686961         25    547478.4    769807.0     45792    806352     342163.8  triton_red_fused_convolution_mean_relu_1                                                            
      0.0         12627258         25    505090.3    697037.0     29088    823569     329411.3  triton_poi_fused_convolution_relu_0                                                                 
      0.0          8424382        104     81003.7     81025.5     79202     84225        599.4  triton_red_fused__softmax__to_copy_argmax_clamp_min_div_exponential_le_where_4                      
      0.0          6697986        160     41862.4     31824.5      9024    171171      41698.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      0.0          6285322          9    698369.1    698858.0    692781    702346       2833.1  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.0          5353217       2864      1869.1      1856.0      1440      6625        193.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<int, at::native::func_wrapper…
      0.0          5261157         96     54803.7     28400.0     26144    130819      35768.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Para…
      0.0          4537176       2368      1916.0      1216.0       928      8544        847.9  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (…
      0.0          4358512       2368      1840.6      1344.0      1184      4064        710.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array…
      0.0          4081373       3040      1342.6      1248.0      1216     13184        444.8  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0          1322328        139      9513.2      5568.0      1280     19616       8305.9  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0           903567         30     30118.9     46656.5       960     68961      26911.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::Te…
      0.0           821779         25     32871.2     33537.0      2848     64034      22083.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
