
NOTICE: Existing SQLite export found: profiler_outputs/nsys_contention_r16_s16_bs2_128k_o64.sqlite
        It is assumed file was previously exported from: profiler_outputs/nsys_contention_r16_s16_bs2_128k_o64.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiler_outputs/nsys_contention_r16_s16_bs2_128k_o64.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     72.4      65045689076       2352  27655480.0  24988557.5    623244  64750293   20095099.5  _fwd_kernel                                                                                         
     20.3      18258538496      12736   1433616.4    713135.0    232036   4781570    1523144.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      1.7       1486716146       4008    370937.2    709759.0     24641    716399     342902.6  _fwd_kernel_flash_decode_stage1                                                                     
      1.5       1386083603      24383     56846.3     26592.0      7616    745711      78953.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      1.1       1021218204       6400    159565.3      1984.0      1792    491370     221062.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9        774754278       6400    121055.4      2400.0      2016    371909     165431.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7        614337153      13000     47256.7      2240.0      1728    151299      64248.8  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      0.3        307924243        320    962263.3   1179520.5    595208   1268401     283453.6  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      0.2        162040847         16  10127552.9   9954401.0   1645569  19802370    8746996.9  _fwd_kernel_with_tail_score                                                                         
