
NOTICE: Existing SQLite export found: profiler_outputs/nsys_nooverlap_step_boundary_r16_s16_bs2_128k_o64_v2.sqlite
        It is assumed file was previously exported from: profiler_outputs/nsys_nooverlap_step_boundary_r16_s16_bs2_128k_o64_v2.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiler_outputs/nsys_nooverlap_step_boundary_r16_s16_bs2_128k_o64_v2.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     73.3      32634116747       1200  27195097.3  24957958.5    622417  64683953   20222576.2  _fwd_kernel                                                                                         
     20.5       9106860533       6368   1430097.4    712470.5    232423   4568367    1518828.6  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      1.5        687785607      12192     56412.9     26784.0      7648    744310      78426.7  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      1.2        514788124       3232    159278.5      1888.0      1824    491279     222969.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9        389655030       3232    120561.6      2400.0      2176    367884     166294.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7        301889325       6565     45984.7      2240.0      1728    150661      63030.1  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      0.4        160533415         16  10033338.4   9943701.5   1650446  19686572    8627377.7  _fwd_kernel_with_tail_score                                                                         
      0.3        152601238        160    953757.7   1180768.5    597264   1267107     282796.9  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      0.2         77266702       3232     23906.8      1248.0      1184     76674      32028.1  triton_poi_fused__to_copy_cat_0                                                                     
      0.2         73431427         73   1005910.0   1077761.0    103011   1544241     326649.0  sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_sta…
      0.2         70107897         73    960382.2   1054465.0    116868   1267112     299417.7  void convolve_common_engine_float_NHWC<__half, __half, (int)128, (int)5, (int)5, (int)3, (int)3, (i…
      0.1         53774638        384    140038.1    127204.0     60098    257544      48802.3  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Para…
      0.1         51077952       1992     25641.5     25569.0     24672     29632        455.9  _fwd_kernel_flash_decode_stage1                                                                     
      0.1         51047715         73    699283.8    773209.0     49058    807833     223460.9  triton_red_fused_convolution_mean_relu_1                                                            
      0.1         46218089         73    633124.5    697526.0     28993    827386     212420.1  triton_poi_fused_convolution_relu_0                                                                 
      0.1         27093285       3232      8382.8      1248.0       992     29345      10332.5  store_kvcache_kernel                                                                                
      0.1         23943971       3232      7408.4      1152.0      1088     22529       9046.9  triton_poi_fused__to_copy_cat_1                                                                     
      0.0          9147903         64    142936.0    142884.0    139748    146020       2169.7  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Para…
      0.0          8165304        101     80844.6     80898.0     79426     81699        380.0  triton_red_fused__softmax__to_copy_argmax_clamp_min_div_exponential_le_where_4                      
      0.0          8036045       6208      1294.5      1248.0      1216     13153        317.2  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0          6645717        160     41535.7     31745.0      8832    170980      41259.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      0.0          5362498         96     55859.4     28545.0     26721    128196      36252.9  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Para…
      0.0          3938400       2016      1953.6      1952.0      1920      2080         16.8  _fwd_kernel_flash_decode_stage2                                                                     
      0.0          3482655          5    696531.0    698099.0    691347    699187       3247.1  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.0          3234598         48     67387.5     68066.0     60418     75330       4156.7  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.0          3060102         73     41919.2     44706.0      2944     76866      14655.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      0.0          2374156         72     32974.4     35425.0     11328     39233       7806.7  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)1, (bool)0>(at::cuda::detail::TensorI…
      0.0          2322467       1232      1885.1      1856.0      1408      6240        262.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<int, at::native::func_wrapper…
      0.0          1951099         48     40647.9     39201.0     30881     60706       6016.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
