
NOTICE: Existing SQLite export found: profiler_outputs/nsys_overlap_attnpredict_r16_s16_bs2_128k_o64.sqlite
        It is assumed file was previously exported from: profiler_outputs/nsys_overlap_attnpredict_r16_s16_bs2_128k_o64.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiler_outputs/nsys_overlap_attnpredict_r16_s16_bs2_128k_o64.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     73.3      32630389154       1200  27191991.0  24948484.5    624931  64657529   20202987.6  _fwd_kernel                                                                                         
     20.5       9113972143       6368   1431214.2    711845.0    232354   4806489    1519122.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      1.6        695024351      12192     57006.6     26784.0      7488    743335      79154.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      1.2        515129131       3232    159384.0      1888.0      1792    492739     222977.6  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9        390081203       3232    120693.4      2400.0      2016    378210     166350.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7        302084882       6565     46014.5      2240.0      1760    149089      63013.3  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      0.4        160383079         16  10023942.4   9943179.5   1654024  19242300    8576178.6  _fwd_kernel_with_tail_score                                                                         
      0.3        155615033        160    972594.0   1179334.0    596739   1280358     291112.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
      0.2         77301404       3232     23917.5      1248.0      1184     78208      32018.9  triton_poi_fused__to_copy_cat_0                                                                     
      0.2         75186699         73   1029954.8   1078669.0    103232   1641203     345262.4  sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x16_sta…
      0.2         70068594         73    959843.8   1054700.0    127392   1293743     293599.3  void convolve_common_engine_float_NHWC<__half, __half, (int)128, (int)5, (int)5, (int)3, (int)3, (i…
      0.1         55077366        384    143430.6    134112.0     60001    253603      49890.5  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Para…
      0.1         52614185       1992     26412.7     25568.0     24673    262115      11969.2  _fwd_kernel_flash_decode_stage1                                                                     
      0.1         51560104         73    706302.8    783753.0     51232    828778     227818.1  triton_red_fused_convolution_mean_relu_1                                                            
      0.1         46025317         73    630483.8    697416.0     31392    799497     208245.5  triton_poi_fused_convolution_relu_0                                                                 
      0.1         27152911       3232      8401.3      1248.0       992     29024      10305.9  store_kvcache_kernel                                                                                
      0.1         23893177       3232      7392.7      1120.0      1088     22944       9013.4  triton_poi_fused__to_copy_cat_1                                                                     
      0.0          9446189         64    147596.7    148992.5    139553    154497       4463.6  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Para…
      0.0          8184037       6208      1318.3      1248.0      1216      9536        432.5  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0          8175382        101     80944.4     80928.0     79424     84288        550.7  triton_red_fused__softmax__to_copy_argmax_clamp_min_div_exponential_le_where_4                      
      0.0          6822872        160     42642.9     33120.0      9152    152097      42192.6  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      0.0          5257730         96     54768.0     28400.0     26560    130849      36328.3  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Para…
      0.0          4026877       2016      1997.5      1952.0      1920     14944        618.1  _fwd_kernel_flash_decode_stage2                                                                     
      0.0          3803116         48     79231.6     69280.5     61633    163138      25885.4  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.0          3486354          5    697270.8    697923.0    693668    700067       2848.3  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.0          3327619         73     45583.8     38305.0      2944    122466      27853.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
